"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1479","test_login_992px","test","Tue Jun 24 16:36:22 GMT 2025","passed","Tue Jun 24 16:36:24 GMT 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","2093","Hootel Login","test","Tue Jun 24 16:36:18 GMT 2025","broken","Tue Jun 24 16:36:21 GMT 2025","TestHootel","test_hootel","",""
"","1081","test_hotel_list","test","Tue Jun 24 16:36:25 GMT 2025","passed","Tue Jun 24 16:36:26 GMT 2025","TestHootel","test_hootel","",""
