"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1085","test_hotel_list","test","Tue Jun 24 16:27:55 GMT 2025","passed","Tue Jun 24 16:27:56 GMT 2025","TestHootel","test_hootel","",""
"","1584","test_login_992px","test","Tue Jun 24 16:27:52 GMT 2025","passed","Tue Jun 24 16:27:53 GMT 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","86","Hootel Login","test","Tue Jun 24 16:27:50 GMT 2025","broken","Tue Jun 24 16:27:50 GMT 2025","TestHootel","test_hootel","",""
