"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1327","Hootel Login","test","Tue Jun 24 16:15:32 GMT 2025","passed","Tue Jun 24 16:15:33 GMT 2025","TestHootel","test_hootel","",""
"","1082","test_hotel_list","test","Tue Jun 24 16:15:35 GMT 2025","passed","Tue Jun 24 16:15:36 GMT 2025","TestHootel","test_hootel","",""
