"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","3092","Hootel Login","test","Tue Jun 24 16:43:25 GMT 2025","broken","Tue Jun 24 16:43:28 GMT 2025","TestHootel","test_hootel","",""
"","1484","test_login_992px","test","Tue Jun 24 16:43:31 GMT 2025","passed","Tue Jun 24 16:43:32 GMT 2025","TestHootel","test_hootel","",""
"","1084","test_hotel_list","test","Tue Jun 24 16:43:35 GMT 2025","passed","Tue Jun 24 16:43:36 GMT 2025","TestHootel","test_hootel","",""
